id,fake_label,x_min,y_min,x_max,y_max
00002792,1,154,29,238,204
00016085,1,47,191,216,249
00030376,0,0,0,0,0
00033758,0,0,0,0,0
00007342,1,189,58,245,202
00033519,0,0,0,0,0
00019497,0,0,0,0,0
00021646,0,0,0,0,0
00014371,1,154,77,227,142
00015297,1,106,133,235,213
00000927,1,25,119,200,184
00016001,1,175,81,245,214
00017478,1,72,142,143,243
00015835,1,188,28,251,198
00027551,0,0,0,0,0
00034905,0,0,0,0,0
00029404,0,0,0,0,0
00016810,1,21,185,106,251
00031444,0,0,0,0,0
00016665,1,82,88,200,253
00014613,1,176,178,243,233
00010970,1,91,145,148,226
00022190,0,0,0,0,0
00026463,0,0,0,0,0
00028148,0,0,0,0,0
00004985,1,162,47,234,158
00029921,0,0,0,0,0
00018173,1,16,114,105,224
00012891,1,14,14,140,138
00029931,0,0,0,0,0
00014476,1,102,90,175,224
00022727,0,0,0,0,0
00003862,1,157,17,237,152
00032937,0,0,0,0,0
00020664,0,0,0,0,0
00001641,1,148,139,242,207
00009004,1,145,24,229,84
00036334,0,0,0,0,0
00032905,0,0,0,0,0
00018000,1,2,189,162,250
00001762,1,115,174,184,247
00008249,1,36,120,216,223
00028935,0,0,0,0,0
00030293,0,0,0,0,0
00022471,0,0,0,0,0
00012572,1,18,180,223,245
00029364,0,0,0,0,0
00010264,1,88,117,235,176
00028720,0,0,0,0,0
00014443,1,64,47,140,214
00032119,0,0,0,0,0
00024094,0,0,0,0,0
00002542,1,146,40,250,184
00006597,1,25,13,82,215
00015657,1,57,133,183,190
00007469,1,187,138,252,248
00024350,0,0,0,0,0
00006264,1,176,136,244,197
00031200,0,0,0,0,0
00015885,1,10,38,194,204
00006709,1,73,72,129,159
00025973,0,0,0,0,0
00020462,0,0,0,0,0
00002908,1,199,130,254,215
00009332,1,36,118,147,225
00006492,1,135,40,217,175
00007925,1,78,32,140,219
00034880,0,0,0,0,0
00012712,1,182,164,243,244
00033854,0,0,0,0,0
